date,time,attraction,wait_time,status,data_source
7月02日,09:15,スモ｜ルワ｜ルド,,detected_structure,july2_analysis
7月02日,09:15,ハニ｜ハント,,detected_structure,july2_analysis
7月02日,09:15,ホ｜ンテッド,,detected_structure,july2_analysis
7月02日,09:15,アリス,,detected_structure,july2_analysis
7月02日,09:15,カル｜セル,,detected_structure,july2_analysis
7月02日,09:15,シンデレラ,,detected_structure,july2_analysis
7月02日,09:15,ピノキオ,,detected_structure,july2_analysis
7月02日,09:15,ピ｜タ｜パン,,detected_structure,july2_analysis
7月02日,09:15,フィルハ｜,,detected_structure,july2_analysis
7月02日,09:15,白雪姫,,detected_structure,july2_analysis
7月02日,09:15,空飛ぶダンボ,,detected_structure,july2_analysis
7月02日,09:15,ゴ｜コ｜スタ｜,,detected_structure,july2_analysis
7月02日,09:15,グ｜フィ｜,,detected_structure,july2_analysis
7月02日,09:15,ＣＤツリ｜ハウス,,detected_structure,july2_analysis
7月02日,09:15,ドナルドのボ｜ト,,detected_structure,july2_analysis
7月02日,09:15,ミニ｜の家,,detected_structure,july2_analysis
7月02日,09:15,カ｜トゥ｜ン,,detected_structure,july2_analysis
7月02日,09:15,スタ｜・ツア｜ズ,,detected_structure,july2_analysis
7月02日,09:15,スペ｜ス,,detected_structure,july2_analysis
7月02日,09:15,バズライトイヤ｜,,detected_structure,july2_analysis
7月02日,09:15,モンイン,,detected_structure,july2_analysis
7月02日,09:15,美女と野獣,,detected_structure,july2_analysis
7月02日,09:15,ベイマックス,,detected_structure,july2_analysis
7月02日,09:15,スティッチＥＮＣ,,detected_structure,july2_analysis
7月02日,09:15,ハウス前,,detected_structure,july2_analysis
7月02日,09:15,ドナルドグリ,,detected_structure,july2_analysis
7月02日,09:15,デイジ｜グリ,,detected_structure,july2_analysis
7月02日,09:15,ミニ｜グリ,,detected_structure,july2_analysis
7月02日,09:15,ミ｜ト・ミッキ｜,,detected_structure,july2_analysis
7月02日,09:45,オムニバス,,detected_structure,july2_analysis
7月02日,09:45,リバ｜鉄道,,detected_structure,july2_analysis
